[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005820s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001383s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001635s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001308s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001529s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001491s ]
[ 2012-07-25T10:40:22+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001710s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001187s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001870s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001064s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001255s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.002631s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003081s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.015257s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015468s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000851s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000895s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000643s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000994s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003938s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000854s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001033s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001259s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001481s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001357s ]
[ 2012-07-25T10:40:37+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001555s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001621s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001958s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001058s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001254s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001287s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001592s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.014605s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014817s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000955s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001082s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000514s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001206s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004454s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000985s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001186s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001285s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001514s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001019s ]
[ 2012-07-25T10:40:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001206s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001789s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002041s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001265s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001576s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001317s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001524s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.015650s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015924s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000886s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000870s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000525s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.006396s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009241s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000864s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001050s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001297s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001532s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001007s ]
[ 2012-07-25T10:41:03+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001193s ]
[ 2012-07-25T10:48:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:48:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002853s ]
[ 2012-07-25T10:48:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003098s ]
[ 2012-07-25T10:48:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:48:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001320s ]
[ 2012-07-25T10:48:50+08:00 ] /gowb/admin.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001517s ]
[ 2012-07-25T10:49:33+08:00 ] /gowb/admin.php/Public/verify/1343184573102 | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:49:33+08:00 ] /gowb/admin.php/Public/verify/1343184573102 | INFO: Run CheckRoute Behavior [ RunTime:0.001166s ]
[ 2012-07-25T10:49:33+08:00 ] /gowb/admin.php/Public/verify/1343184573102 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001386s ]
[ 2012-07-25T10:49:33+08:00 ] /gowb/admin.php/Public/verify/1343184573102 | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:49:33+08:00 ] /gowb/admin.php/Public/verify/1343184573102 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001078s ]
[ 2012-07-25T10:49:33+08:00 ] /gowb/admin.php/Public/verify/1343184573102 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001268s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002998s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.003253s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001289s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001539s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | SQL: SHOW COLUMNS FROM `wb_user` [ RunTime:0.005103s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | SQL: SELECT * FROM `wb_user` WHERE username='admin' and password='21232f297a57a5a743894a0e4a801fc3'  [ RunTime:0.000636s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ view_template ] --START--
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001246s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001448s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.022708s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022926s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001046s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.000975s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000733s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001276s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004589s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ view_end ] --START--
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001002s ]
[ 2012-07-25T10:49:41+08:00 ] /gowb/admin.php/Public/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001190s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001176s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001392s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001003s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001187s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_template ] --START--
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.012498s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.012728s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_parse ] --START--
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.030934s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031137s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_filter ] --START--
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000782s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.000757s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000464s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.001601s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007070s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_end ] --START--
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000794s ]
[ 2012-07-25T10:49:43+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000971s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001782s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002184s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001153s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001336s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_template ] --START--
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.001249s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001459s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_parse ] --START--
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.019327s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019641s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_filter ] --START--
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000892s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.000964s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000667s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.006565s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009638s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_end ] --START--
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001088s ]
[ 2012-07-25T10:59:32+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001276s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001342s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001585s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ app_begin ] --START--
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000995s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001177s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_template ] --START--
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.001205s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001418s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_parse ] --START--
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.020184s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020394s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_filter ] --START--
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000934s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.000790s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000647s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000918s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003821s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_end ] --START--
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001584s ]
[ 2012-07-25T10:59:40+08:00 ] /gowb/admin.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001860s ]
[ 2012-07-25T10:59:41+08:00 ] /gowb/admin.php/Index | INFO: Tag[ route_check ] --START--
[ 2012-07-25T10:59:41+08:00 ] /gowb/admin.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001255s ]
[ 2012-07-25T10:59:41+08:00 ] /gowb/admin.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001470s ]
[ 2012-07-25T10:59:41+08:00 ] /gowb/admin.php/Index | INFO: Tag[ app_begin ] --START--
